31341039,"2012-09-17 01:50:19","2012-09-17 01:56:42",77.169.98.16,NL,Netherlands,,,,,,relevant,relevant,"not relevant","Important & Urgent",relevant,relevant,relevant,relevant,relevant,"Important & Urgent",,"important & urgent","important & urgent","important & urgent",relevant,relevant,relevant,relevant,relevant,"important & urgent",relevant,"important & urgent",relevant,relevant,relevant,relevant,"not relevant","important & urgent","important & urgent","important & urgent",,relevant,,relevant,"important & urgent",relevant,"not relevant",relevant,"not relevant","not relevant","important & urgent","important & urgent","important & urgent","not relevant",relevant,relevant,relevant,relevant,"not relevant",relevant,"not relevant",relevant,relevant,relevant,relevant,,"I live and breath the Web + JSON stack",relevant,relevant,"important & urgent","important & urgent",relevant,"important & urgent",relevant,relevant,relevant,,"Browser, Direct","Mac OS X 10.6","Firefox 14.0",
31341164,"2012-09-17 01:34:00","2012-09-17 02:04:11",83.150.118.195,FI,Finland,"Important & Urgent","Important & Urgent","Important & Urgent","Important but Not Urgent","Important & Urgent",relevant,"not relevant","Important & Urgent",relevant,"Important but Not Urgent","Important but Not Urgent",relevant,"not relevant",relevant,"Important & Urgent",,"not relevant","important & urgent","important but not urgent","important but not urgent",relevant,"not relevant",relevant,"not relevant","important but not urgent",relevant,"important & urgent",relevant,"important & urgent","important but not urgent",relevant,"not relevant",relevant,"important but not urgent",relevant,"not relevant",relevant,,"important but not urgent",relevant,"important & urgent","not relevant","not relevant","not relevant","not relevant","important & urgent","important but not urgent",relevant,relevant,relevant,"not relevant","not relevant","not relevant","not relevant","not relevant",relevant,"important but not urgent","important & urgent","important & urgent","important but not urgent",,"I live and breath the XML stack, I want to learn more about BigData","not relevant",relevant,relevant,"important & urgent","important but not urgent","not relevant",relevant,"important but not urgent","important but not urgent",,"Browser, Direct",,,
31341373,"2012-09-17 02:07:06","2012-09-17 02:17:03",152.62.109.57,US,"United States","Important & Urgent","Important & Urgent","Important & Urgent",relevant,relevant,"not relevant","not relevant",relevant,relevant,relevant,relevant,relevant,"not relevant",relevant,"not relevant",,"not relevant","important but not urgent","important but not urgent","important & urgent","important & urgent","not relevant",relevant,"not relevant","important & urgent","not relevant","important & urgent",relevant,"important & urgent",relevant,relevant,relevant,relevant,"not relevant","not relevant","not relevant","not relevant",,"not relevant",relevant,relevant,"not relevant","not relevant","not relevant","not relevant","important & urgent","important & urgent","not relevant","important & urgent","not relevant","not relevant","not relevant","not relevant","not relevant","not relevant","important but not urgent","not relevant","important & urgent","not relevant","not relevant",,"I want to reduce complexity in my data tooling/technologies, I live and breath BigData, I embrace and plan for data heterogeneity from the start, I live and breath the XML stack",relevant,relevant,"important but not urgent","important & urgent",relevant,relevant,relevant,"not relevant","not relevant",,"Browser, Direct",Linux,"Chrome 0.0",
31342047,"2012-09-17 02:53:40","2012-09-17 02:57:28",62.210.161.232,FR,France,"Important but Not Urgent","Important but Not Urgent","Important but Not Urgent",relevant,relevant,relevant,relevant,"Important & Urgent","Important & Urgent","Important but Not Urgent","Important & Urgent","Important but Not Urgent","Important & Urgent","Important but Not Urgent","Important but Not Urgent",,,,"important & urgent",,"important & urgent","important & urgent","important & urgent","important but not urgent","important but not urgent",relevant,"important but not urgent",relevant,"important but not urgent","important but not urgent",relevant,"not relevant","important but not urgent","important but not urgent",,,relevant,,relevant,"important but not urgent","important but not urgent",relevant,relevant,,,"important & urgent","important & urgent",,"important but not urgent","not relevant",relevant,"not relevant","not relevant",,"not relevant","not relevant",relevant,"important & urgent","important but not urgent","important but not urgent",,"I live and breath the XML stack, I want to reduce complexity in my data tooling/technologies","important but not urgent",relevant,"important but not urgent","important but not urgent","important but not urgent","not important but urgent",relevant,relevant,relevant,,"Browser, Direct",,,
31342486,"2012-09-17 03:15:32","2012-09-17 03:21:10",80.64.176.91,DE,Germany,relevant,,"Important but Not Urgent","Important but Not Urgent","Important but Not Urgent",relevant,"not relevant",relevant,"Important & Urgent","Important but Not Urgent","Important but Not Urgent","Important & Urgent",relevant,relevant,relevant,,"not relevant",relevant,"important but not urgent","important but not urgent","important but not urgent","important but not urgent","important but not urgent","not relevant",relevant,"not relevant",relevant,"not relevant",relevant,relevant,"important but not urgent","important but not urgent",relevant,"not relevant",relevant,,"not relevant",,"important but not urgent",relevant,"important but not urgent","not relevant",relevant,"not relevant","not relevant",,"not relevant","important but not urgent","not relevant","not relevant","not relevant","not relevant",relevant,"not relevant","not relevant","not relevant","important but not urgent",relevant,"important but not urgent","not relevant",NLM/JATS,"I live and breath the XML stack","important but not urgent",,"important but not urgent","important but not urgent","important but not urgent",relevant,relevant,"important but not urgent","important but not urgent",,"Browser, Direct",Win7,"Chrome 0.0",
31343197,"2012-09-17 03:51:58","2012-09-17 03:57:06",82.132.242.162,GB,"United Kingdom","Important & Urgent","not relevant","Important but Not Urgent",relevant,"Important but Not Urgent","not relevant","not relevant","not relevant",relevant,relevant,relevant,"not relevant","not relevant","not relevant","not relevant",,"not relevant","important & urgent","important & urgent","not important but urgent",relevant,"not relevant",relevant,"not relevant",relevant,relevant,relevant,relevant,"important & urgent","important & urgent","important but not urgent","important but not urgent","important & urgent",relevant,"not relevant",,relevant,,relevant,"not relevant","not relevant","not relevant","not relevant","not relevant","not relevant","not relevant","not relevant","not relevant","not relevant","not relevant","not relevant","not relevant","not relevant","not relevant","not relevant","not relevant","important but not urgent","important but not urgent","not relevant","not relevant",,"I live and breath the XML stack","not important but urgent",relevant,"not relevant","important & urgent",relevant,"not relevant",relevant,"important but not urgent","important but not urgent",,"Mobile Device, Direct","iOS 5.1","Safari 5.1",
31343831,"2012-09-17 04:20:43","2012-09-17 04:25:02",70.193.129.235,US,"United States","Important & Urgent",relevant,"Not Important but Urgent",relevant,relevant,relevant,relevant,"Not Important but Urgent","Not Important but Urgent","Not Important but Urgent","Not Important but Urgent","Not Important but Urgent","Important but Not Urgent","Important but Not Urgent","Not Important but Urgent",,"important & urgent","important & urgent","important but not urgent","important but not urgent","not important but urgent","important but not urgent","not important but urgent","not important but urgent","important but not urgent",relevant,"important but not urgent","not relevant","important & urgent",relevant,relevant,relevant,"not important but urgent","not important but urgent","not important but urgent",relevant,relevant,,"not important but urgent",relevant,relevant,relevant,"not important but urgent","not important but urgent",relevant,"not important but urgent",relevant,"not relevant",relevant,"not important but urgent",relevant,"not important but urgent","not important but urgent",relevant,"not important but urgent","important but not urgent",relevant,relevant,"important but not urgent","not important but urgent",,"I live and breath the Web + JSON stack, I live and breath the XML stack, I want to reduce complexity in my data tooling/technologies","important but not urgent","not important but urgent","important & urgent","important & urgent","not important but urgent",relevant,"not important but urgent","not relevant","not relevant",,"Mobile Device, Direct","Android 4","Android 4.0",
31343838,"2012-09-17 04:19:08","2012-09-17 04:25:29",163.1.176.217,GB,"United Kingdom","Important & Urgent","Important but Not Urgent","Important & Urgent","Important & Urgent","Important & Urgent",relevant,"not relevant","Important & Urgent","Important & Urgent","Important & Urgent","Important & Urgent",relevant,relevant,,"Important & Urgent",,relevant,,"important & urgent","important & urgent","important & urgent","important but not urgent","important & urgent","important but not urgent","important & urgent","important but not urgent","important but not urgent","important but not urgent","important but not urgent","important but not urgent","important & urgent","important & urgent","important & urgent",relevant,"important but not urgent",,"important but not urgent",,"important but not urgent","important & urgent","important & urgent",relevant,relevant,relevant,relevant,"not relevant","not relevant","important but not urgent",relevant,"not relevant","important but not urgent",relevant,relevant,relevant,relevant,relevant,"important but not urgent",relevant,"important & urgent",relevant,"NLM, NEIMl, (X)HTML(5)","I want to reduce complexity in my data tooling/technologies, I live and breath the XML stack, I embrace and plan for data heterogeneity from the start","important & urgent","important & urgent","important & urgent","important & urgent",relevant,relevant,"not relevant","important & urgent","important but not urgent",,"Browser, Direct","Mac OS X 10.6","Chrome 0.0",
31343871,"2012-09-17 04:22:42","2012-09-17 04:27:45",111.253.222.86,TW,Taiwan,"Important & Urgent",relevant,"Important & Urgent","Important but Not Urgent","Important & Urgent","not relevant","not relevant","Important & Urgent","Important but Not Urgent","Important & Urgent","Important & Urgent",relevant,relevant,"Important & Urgent","Important & Urgent",,"important but not urgent","important & urgent","important & urgent","important & urgent",relevant,relevant,relevant,relevant,"important & urgent","important but not urgent","important but not urgent","important but not urgent",relevant,relevant,"important & urgent","important & urgent","important & urgent",relevant,relevant,relevant,relevant,,relevant,"important & urgent","important & urgent",,,,,,,,,,,,,,,,"important & urgent","important but not urgent","important & urgent",,,"I live and breath the XML stack","important & urgent","not relevant","not relevant","important & urgent","important & urgent",relevant,relevant,"important & urgent","important & urgent",,"Mobile Device, Direct","iOS 5.1","Safari 5.1",
31343923,"2012-09-17 04:28:41","2012-09-17 04:29:59",203.55.173.2,IN,India,"Important & Urgent",relevant,"Important but Not Urgent",relevant,relevant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Browser, Direct","Windows XP","IE 8.0",
