"Respondent ID","Start Date",EndDate,"IP Address","Country Code","Country Name","Please rank the importance of each xslt version",,,,"Please rank xslt versions from most important (top) to least important (bottom).","How long have you been using XSLT ?","Which XSLT processor(s) do you use the most ?","What environment/operating system do you run your XSLT in ?",,"Please provide any additional information about how you use XSLT, expectations for the future or any general comment you would like to make.",Type,Platform,Agent,Referrer
39556752,"2013-01-28 05:26:28","2013-01-28 05:28:58",84.145.235.230,DE,Germany,Somewhat,"Not very",Extremely,Somewhat,"XSLT v2.0, XSLT v1.0, XSLT v1.0 + exslt, XSLT v3.0","a long time","Saxon 9  Xalan","OSX, Java",,,"Browser, Direct",,,
39556853,"2013-01-28 05:29:42","2013-01-28 05:31:21",167.206.189.6,US,"United States",Extremely,Somewhat,"Not at all",Extremely,"XSLT v3.0, XSLT v1.0, XSLT v1.0 + exslt, XSLT v2.0","a long time",saxon,Java,,,"Browser, Direct","Windows XP","Firefox 18.0",http://t.co/2mm6ISys
39557433,"2013-01-28 05:19:27","2013-01-28 05:42:46",80.64.176.91,DE,Germany,Somewhat,Somewhat,Extremely,Somewhat,"XSLT v2.0, XSLT v3.0, XSLT v1.0, XSLT v1.0 + exslt","a long time","Saxon EE 9.4",Java,,"Most prominently, I’d like to see the XSLT 3 features try/catch, new template matching patterns, maps, function items, the corresponding XPath 3 functions, in a free version of saxon. So basically everything except streaming, where I’d consider it very appropriate to pay a premium for. But baseline XSLT/XPath 3 will drastically improve my daily coding, and I’d like to give away some of the code that I write as open source libraries. People won’t adopt it if they need a commercial processor for it.","Browser, Direct","Windows 7","Chrome 24.0",
39557723,"2013-01-28 05:48:02","2013-01-28 05:49:22",134.100.126.2,DE,Germany,"No opinion","No opinion",Extremely,Somewhat,"XSLT v2.0, XSLT v3.0, XSLT v1.0, XSLT v1.0 + exslt","a long time",Saxon,Java,,,"Browser, Direct","Windows 7","Firefox 18.0",
39557797,"2013-01-28 05:46:45","2013-01-28 05:50:38",93.129.21.4,DE,Germany,"Not very","Not very",Extremely,Somewhat,"XSLT v2.0, XSLT v1.0, XSLT v3.0, XSLT v1.0 + exslt","less then a year","sometimes xsltproc, if any",Linux,,"I actually do not use XSLT at all.    I just want to say that XSLT is aweful, and everyone should switch to XQuery. Much better.    Make an XQuery survey","Browser, Direct",Linux,"Firefox 10.0",
39557956,"2013-01-28 05:40:35","2013-01-28 05:53:33",134.76.162.165,DE,Germany,Somewhat,Somewhat,Extremely,"Not at all","XSLT v2.0, XSLT v1.0 + exslt, XSLT v1.0, XSLT v3.0","a long time","Saxon, xsltproc (libxslt), Java Buildin (Xalan) Altova (which was a wrapper around MSXML I think) before 2003","OSX, Java, Linux","Windows before 2003","I miss xsltproc with XSLT 2.0","Browser, Direct","Mac OS X 10.8","Firefox 18.0",
39557957,"2013-01-28 05:51:44","2013-01-28 05:53:34",137.158.153.204,ZA,"South Africa",Extremely,Extremely,Somewhat,"No opinion","XSLT v1.0, XSLT v1.0 + exslt, XSLT v2.0, XSLT v3.0","a few years",xsltproc,Linux,,"Transforming input documents into different formats.","Browser, Direct",Linux,"Chrome 23.0",
39558058,"2013-01-28 05:51:36","2013-01-28 05:54:57",213.240.137.10,DE,Germany,"Not at all","Not at all",Extremely,"No opinion","XSLT v2.0, XSLT v3.0, XSLT v1.0 + exslt, XSLT v1.0","less then 5 years",Saxon,"Java, OSX, Linux",,,"Browser, Direct","Mac OS X 10.7","Firefox 18.0",
39558104,"2013-01-28 05:52:52","2013-01-28 05:55:55",80.254.147.68,GB,"United Kingdom","Not at all","Not at all",Extremely,Somewhat,"XSLT v3.0, XSLT v2.0, XSLT v1.0 + exslt, XSLT v1.0","a long time",Saxon,"Linux, Java, OSX",,"Functional baby!","Browser, Direct",Linux,"Chrome 20.0",
39558122,"2013-01-28 05:55:21","2013-01-28 05:56:24",82.77.173.100,RO,Romania,"Not very","Not very",Extremely,Somewhat,"XSLT v2.0, XSLT v3.0, XSLT v1.0 + exslt, XSLT v1.0","a long time","Saxon 9","Java, OSX",,,"Browser, Direct","Mac OS X 10.8","Firefox 18.0",
39558209,"2013-01-28 05:55:35","2013-01-28 05:57:59",217.174.120.185,IT,Italy,"No opinion","No opinion",Somewhat,Extremely,"XSLT v3.0, XSLT v2.0, XSLT v1.0 + exslt, XSLT v1.0","less then 5 years","Saxon HE",Linux,,,"Browser, Direct",Linux,"Firefox 13.0",
39558560,"2013-01-28 06:02:37","2013-01-28 06:04:11",107.192.221.51,XX,Unknown,Somewhat,"No opinion",Extremely,"No opinion","XSLT v2.0, XSLT v1.0, XSLT v3.0, XSLT v1.0 + exslt","Just started","Saxon HE",OSX,,,"Browser, Direct","Mac OS X 10.8","Safari 6.0",
39558579,"2013-01-28 06:03:36","2013-01-28 06:04:52",86.163.3.233,GB,"United Kingdom",Extremely,Extremely,Extremely,"No opinion","XSLT v1.0, XSLT v1.0 + exslt, XSLT v2.0, XSLT v3.0","a long time",saxon,Linux,,,"Browser, Direct",Linux,"Chrome 24.0",
39558855,"2013-01-28 06:00:20","2013-01-28 06:08:39",88.163.134.78,FR,France,"No opinion","Not very",Somewhat,"No opinion","XSLT v2.0, XSLT v3.0, XSLT v1.0, XSLT v1.0 + exslt","a long time","Saxon Home Edition",Java,,"I am interested in advances in the language such as closures, which I am familiar with in JavaScript.    I learned XPath 1.0 and XSLT 1.0 by reading an introduction book with design patterns in XSLT and reading the full text of the recommendations from W3C.    I learned XSLT 2.0 on the job, peacemeal, using Michael Kay's ""XSLT 2.0 and XPath 2.0"" as a reference. I could not get myself to read the W3C recomendations this time, due to the perceived level of complexity and the modularization : too many cross-references, no clear entry point for learning.    I will probably switch to 3.0 if Saxon H E supports it, learning the new features on a need to know basis.","Browser, Direct",Linux,"Firefox 18.0",
39559069,"2013-01-28 06:08:25","2013-01-28 06:12:19",76.0.60.84,US,"United States","Not very","No opinion",Extremely,Somewhat,"XSLT v2.0, XSLT v3.0, XSLT v1.0, XSLT v1.0 + exslt","less then 5 years",Saxon,Java,,"non-programmer, librarian working with metadata all marked up in the extensible","Browser, Direct","Windows Vista","Chrome 24.0",
39559250,"2013-01-28 06:13:00","2013-01-28 06:15:03",121.44.215.207,AU,Australia,Extremely,Extremely,Somewhat,"No opinion","XSLT v3.0, XSLT v1.0, XSLT v2.0, XSLT v1.0 + exslt","a long time","LibXml XSLT (xslproc)",Linux,,,"Browser, Direct",Linux,"Safari 4.0",
39559516,"2013-01-28 06:18:45","2013-01-28 06:20:47",78.94.124.87,DE,Germany,Somewhat,Somewhat,Extremely,"Not very","XSLT v2.0, XSLT v1.0 + exslt, XSLT v1.0, XSLT v3.0","a long time","Saxon,  xsltproc","Java, Linux, OSX",,"-- none --","Browser, Direct","Mac OS X 10.8","Chrome 24.0",
39560390,"2013-01-28 06:33:22","2013-01-28 06:37:36",82.236.221.131,FR,France,Somewhat,Somewhat,Extremely,Somewhat,"XSLT v2.0, XSLT v3.0, XSLT v1.0 + exslt, XSLT v1.0","a long time","Saxon HE  Saxon PE/EE only within my XML IDE (oXygen)",Java,,,"Browser, Direct","Mac OS X 10.8","Chrome 24.0",
39561578,"2013-01-28 06:48:26","2013-01-28 06:51:40",46.218.155.148,FR,France,"Not at all","Not at all",Extremely,Extremely,"XSLT v1.0, XSLT v1.0 + exslt, XSLT v2.0, XSLT v3.0","less then a year","saxon EE","Linux, Java",Sun,"XML document transformation.  HTML create.","Browser, Direct","Windows XP","IE 6.0",
39562191,"2013-01-28 06:56:42","2013-01-28 06:58:41",74.44.141.216,US,"United States",Somewhat,Somewhat,Extremely,"No opinion","XSLT v2.0, XSLT v1.0 + exslt, XSLT v3.0, XSLT v1.0","a long time","saxon 9 in Oxygen",,Windows,"Streaming is likely to be important. Maybe first class functions.","Browser, Direct","Windows 7","IE 10.0",http://us-mg6.mail.yahoo.com/neo/launch?.rand=f063s7h45bgkk
39564082,"2013-01-28 07:16:20","2013-01-28 07:19:00",110.33.204.146,AU,Australia,Somewhat,"Not very","Not at all","Not at all","XSLT v1.0 + exslt, XSLT v1.0, XSLT v3.0, XSLT v2.0","a long time",,"Java, Linux",,,"Mobile Device, Direct","iOS 6","Safari 6",
39565167,"2013-01-28 07:27:48","2013-01-28 07:29:35",99.177.126.136,US,"United States",Extremely,"No opinion","Not very","Not at all","XSLT v1.0, XSLT v2.0, XSLT v3.0, XSLT v1.0 + exslt","a long time","System.Xml from .NET.",.NET,,,"Browser, Direct",,,http://t.co/2mm6ISys
39565303,"2013-01-28 07:26:41","2013-01-28 07:30:48",129.83.31.2,US,"United States",Somewhat,"Not very",Extremely,"No opinion","XSLT v2.0, XSLT v3.0, XSLT v1.0 + exslt, XSLT v1.0","a long time",SAXON,Java,,"The lack of a free XSLT processor impedes its adoption. The W3C should provide a free reference implementation of an XSLT processor.","Browser, Direct","Windows 7","IE 9.0",
39566854,"2013-01-28 07:38:57","2013-01-28 07:44:11",98.232.109.175,US,"United States",Somewhat,"Not at all",Extremely,Extremely,"XSLT v3.0, XSLT v2.0, XSLT v1.0, XSLT v1.0 + exslt","a long time","Saxon 9.x, Saxon 6.5.x, XMLPrime, AltovaXML, MSXML (6,4,3)","Java, .NET",,"I expect that in the future XPath 3.0 will be a separate, stand-alone programming language. All function libraries will be written in pure XPath 3.0 (3.1) thus portable between XSLT and XQuery.     I expect the new XPath 3.0/3.1 data structures such as maps and arrays to be used extensively.","Browser, Direct","Windows 7","IE 9.0",
39567032,"2013-01-28 07:40:08","2013-01-28 07:45:40",91.114.12.213,AT,Austria,"Not at all","Not at all",Extremely,"Not at all","XSLT v2.0, XSLT v1.0, XSLT v1.0 + exslt, XSLT v3.0","a few years","Saxon HE",Linux,"and Solaris","How: Sparingly. Where its fortes really help.    Having to use three or four reference documentations while writing one program is hard: XSLT, XPath, XQuery/XPath Functions and Operators, XML Schema Datatypes.","Browser, Direct",Linux,"Mozilla 1.9",
39568073,"2013-01-28 07:52:38","2013-01-28 07:54:04",94.71.13.165,GR,Greece,Extremely,"Not very",Somewhat,"Not very","XSLT v1.0, XSLT v2.0, XSLT v3.0, XSLT v1.0 + exslt","a long time","browser implementations on the cient, various java implementations on the server","Linux, Java",browser,,"Browser, Direct",Linux,"Firefox 18.0",
39568826,"2013-01-28 07:58:23","2013-01-28 08:00:20",79.249.96.21,DE,Germany,Somewhat,Somewhat,Extremely,"No opinion","XSLT v1.0, XSLT v2.0, XSLT v1.0 + exslt, XSLT v3.0","a long time",Saxon,"OSX, .NET, Java",,,"Mobile Device, Direct","iOS 6","Safari 6",
39569212,"2013-01-28 07:50:09","2013-01-28 08:03:37",81.243.121.26,BE,Belgium,Extremely,Somewhat,Extremely,"No opinion","XSLT v2.0, XSLT v1.0, XSLT v3.0, XSLT v1.0 + exslt","a long time","Saxon when I can (mostly .NET, or via oXygen for data conversions); Xalan and .NET System.Xml.Xsl when I have to.","Linux, .NET",,"Mostly for XSLT-based CMS or websites; occasionally for TEI (Text Encoding Initiative) projects.","Browser, Direct","Windows XP","Firefox 18.0",
39570834,"2013-01-28 08:02:28","2013-01-28 08:16:25",188.30.116.2,GB,"United Kingdom",Somewhat,"Not very",Extremely,Somewhat,"XSLT v2.0, XSLT v3.0, XSLT v1.0, XSLT v1.0 + exslt","a long time","1. Saxon HE or Saxon PE for .net and Java  2. Saxon CE","Java, Linux, .NET",Browser,"1. XSLT Specification does not appear to address the productivity of XSLT editing when using a dedicated XSLT editor - e.g. features that could enhance schema-aware auto-complete    2. The W3C XSLT website - http://www.w3.org/TR/xslt - still references the XSLT 1.0 recommendation, this is wrong - it should reference the most recent recommendation    3. In future, the XSLT and  XProc specifications should be aligned.","Browser, Direct","Windows 8","Chrome 24.0",
39573072,"2013-01-28 05:23:54","2013-01-28 08:33:35",46.218.155.148,FR,France,"Not at all","Not at all",Extremely,Extremely,"XSLT v3.0, XSLT v2.0, XSLT v1.0 + exslt, XSLT v1.0","less then 5 years",saxon,Linux,SunOS,,"Browser, Direct",Linux,"Firefox 18.0",
39574172,"2013-01-28 08:24:15","2013-01-28 08:42:41",69.167.69.3,US,"United States",Extremely,Somewhat,Extremely,Somewhat,"XSLT v2.0, XSLT v1.0, XSLT v3.0, XSLT v1.0 + exslt","a long time",Saxon,"Linux, Java",Unix,,"Browser, Direct","Windows 7","Firefox 18.0",
39575561,"2013-01-28 08:52:21","2013-01-28 08:54:32",80.129.30.10,DE,Germany,"Not very","Not at all",Extremely,"No opinion","XSLT v2.0, XSLT v1.0, XSLT v3.0, XSLT v1.0 + exslt","a long time",saxon9he,OSX,,"Use XSLT from command line + OxygenXML editor. Don't know anything about 3.0 yet.","Browser, Direct","Mac OS X 10.8","Safari 6.0",http://t.co/KhWP9dDb
39577543,"2013-01-28 09:11:01","2013-01-28 09:12:18",174.141.243.6,US,"United States",Extremely,Somewhat,Somewhat,"No opinion","XSLT v1.0, XSLT v1.0 + exslt, XSLT v2.0, XSLT v3.0","a long time",MSXML,.NET,,,"Browser, Direct","Windows XP","IE 7.0",
39578114,"2013-01-28 09:15:27","2013-01-28 09:17:44",213.208.231.65,GB,"United Kingdom",Somewhat,"No opinion",Extremely,"No opinion","XSLT v2.0, XSLT v1.0, XSLT v1.0 + exslt, XSLT v3.0","a long time",saxon,Linux,solaris,,"Browser, Direct",Linux,"Firefox 10.0",
39578380,"2013-01-28 09:18:04","2013-01-28 09:20:05",193.96.226.18,DE,Germany,Somewhat,Somewhat,Extremely,"No opinion","XSLT v2.0, XSLT v1.0, XSLT v3.0, XSLT v1.0 + exslt","less then 5 years","Transformatio through XML Spy Editor  Saxon EE",Java,,,"Browser, Direct","Windows 7","Firefox 18.0",
39581267,"2013-01-28 09:45:19","2013-01-28 09:46:59",128.143.36.222,US,"United States","Not very",Somewhat,Extremely,Extremely,"XSLT v3.0, XSLT v2.0, XSLT v1.0 + exslt, XSLT v1.0","a long time","Saxon 9.4 (EE / PE)  MarkLogic","Linux, OSX",,"XSLT is 100% critical to the daily workflow and production environment of my organization.","Browser, Direct","Mac OS X 10.7","Firefox 18.0",
39582838,"2013-01-28 09:59:50","2013-01-28 10:01:17",24.59.184.80,US,"United States",Somewhat,Extremely,"Not very","Not at all","XSLT v1.0 + exslt, XSLT v1.0, XSLT v2.0, XSLT v3.0","a long time","libxslt, occasionally Saxon.","Java, Linux, OSX",,"I mostly convert DocBook to HTML, with occasional XHTML to XHTML transforms and other similar strange bits.","Browser, Direct","Mac OS X 10.7","Firefox 18.0",
39583460,"2013-01-28 10:03:10","2013-01-28 10:05:56",87.151.71.140,DE,Germany,Extremely,Somewhat,Somewhat,Somewhat,"XSLT v1.0, XSLT v2.0, XSLT v1.0 + exslt, XSLT v3.0","a long time","DotNet  MSXSL  Saxon",.NET,Windows,"XML/XSLT is a really great technologie  I use it in TechComm publishing processes","Browser, Direct","Windows 7","IE 9.0",http://t.co/KhWP9dDb
39587793,"2013-01-28 10:41:35","2013-01-28 10:44:05",207.168.47.25,US,"United States",Extremely,Extremely,Extremely,"No opinion","XSLT v2.0, XSLT v1.0 + exslt, XSLT v1.0, XSLT v3.0","a long time","Depends on clients environment:    Saxon (all flavors)  Xalan","Java, Linux",Windows,"Transformation and validation!","Browser, Direct","Windows 7","IE 9.0",http://www.eccnet.com/webmail/src/read_body.php?mailbox=Technology%2FXSLT&passed_id=5443&startMessage=1
39590107,"2013-01-28 10:23:39","2013-01-28 11:08:20",199.180.145.100,US,"United States",Somewhat,"No opinion",Extremely,"No opinion","XSLT v1.0, XSLT v2.0, XSLT v1.0 + exslt, XSLT v3.0","a long time","Saxon, xalan",".NET, Java, OSX, Linux",,,"Mobile Device, Direct","iOS 6","Safari 6",http://t.co/KhWP9dDb
39590421,"2013-01-28 11:08:15","2013-01-28 11:11:39",85.225.210.123,SE,Sweden,"Not at all","Not at all",Extremely,Extremely,"XSLT v2.0, XSLT v3.0, XSLT v1.0 + exslt, XSLT v1.0","a long time",Saxon,"Linux, OSX, Java",,"Content processing pipelines, Web-Service versioning, PDF-generation with FO, Datadriven metadata documentation.","Browser, Direct","Windows 8","Chrome 24.0",http://t.co/2mm6ISys
39590459,"2013-01-28 11:09:30","2013-01-28 11:12:10",208.102.162.148,US,"United States",Extremely,Somewhat,"No opinion","No opinion","XSLT v1.0, XSLT v1.0 + exslt, XSLT v2.0, XSLT v3.0","a long time",libxslt/xsltproc,Linux,,,"Browser, Direct",Linux,"Safari 5.0",
39591073,"2013-01-28 11:09:42","2013-01-28 11:18:34",62.227.102.202,DE,Germany,Extremely,Somewhat,Extremely,Extremely,"XSLT v2.0, XSLT v3.0, XSLT v1.0, XSLT v1.0 + exslt","a long time","Saxon, AltovaXML","OSX, Java",,"I hope the final XSLT / XPath / XQuery 3.0 specs will be released soon.","Browser, Direct","Windows Vista","IE 9.0",http://t.co/KhWP9dDb
39592498,"2013-01-28 11:32:20","2013-01-28 11:33:33",160.109.104.44,US,"United States",Extremely,"Not at all",Somewhat,"Not at all","XSLT v1.0, XSLT v2.0, XSLT v3.0, XSLT v1.0 + exslt","a long time",Saxon,Java,,,"Browser, Direct","Windows 7","IE 8.0",
39595314,"2013-01-28 11:53:07","2013-01-28 12:00:36",108.45.112.228,US,"United States",Extremely,Extremely,Extremely,Extremely,"XSLT v2.0, XSLT v1.0, XSLT v3.0, XSLT v1.0 + exslt","a long time","Saxon (latest or recent version)",Java,"I write XSLT widely deployed to other platforms","XSLT may always be considered to be a niche technology because developers with strong XSLT skills may always be a rare breed, while there are few things worse than bad XSLT. Nevertheless it is so powerful in its domain, and such a good complement to other technologies, that I don't expect to be migrating off it in the foreseeable future.","Browser, Direct","Windows 7","Chrome 24.0",
39603841,"2013-01-28 13:28:32","2013-01-28 13:30:26",78.86.26.165,GB,"United Kingdom",Extremely,Somewhat,Extremely,Extremely,"XSLT v3.0, XSLT v2.0, XSLT v1.0, XSLT v1.0 + exslt","a long time",Saxon,"Java, Linux",,,"Browser, Direct",Linux,"Firefox 18.0",http://t.co/KhWP9dDb
39604032,"2013-01-28 13:31:32","2013-01-28 13:32:29",50.56.230.140,US,"United States",Somewhat,Extremely,Extremely,Extremely,"XSLT v2.0, XSLT v1.0 + exslt, XSLT v3.0, XSLT v1.0","a long time","Saxon 9 and Saxon 6.5",Java,,,"Browser, Direct",Linux,"Firefox 18.0",http://plus.url.google.com/url?sa=z&n=1359397890536&url=http%3A%2F%2Ft.co%2FKhWP9dDb&usg=fOh-anLnVncXNXakyW6ER6e3NJ4.
39604069,"2013-01-28 13:31:26","2013-01-28 13:32:47",204.237.106.231,CA,Canada,Somewhat,Extremely,Extremely,Extremely,"XSLT v2.0, XSLT v1.0 + exslt, XSLT v3.0, XSLT v1.0","a long time","Saxon  xsltproc",Linux,"Web Browser",,"Browser, Direct",Linux,"Firefox 10.0",
39604841,"2013-01-28 13:40:34","2013-01-28 13:41:32",70.112.32.161,US,"United States",Somewhat,"No opinion",Extremely,Somewhat,"XSLT v2.0, XSLT v3.0, XSLT v1.0, XSLT v1.0 + exslt","a long time","Saxon 9.4.x","OSX, Java, Linux",,,"Browser, Direct","Mac OS X 10.8","Chrome 24.0",http://plus.url.google.com/url?sa=z&n=1359398433977&url=http%3A%2F%2Ft.co%2FKhWP9dDb&usg=s5-ZW4wOEtKE2Amadg5oXrvF7rU.
39604892,"2013-01-28 13:40:31","2013-01-28 13:41:56",62.78.151.236,FI,Finland,Somewhat,Somewhat,Somewhat,"Not at all","XSLT v1.0, XSLT v2.0, XSLT v1.0 + exslt, XSLT v3.0","a long time",Saxon,"Java, OSX",,,"Browser, Direct","Mac OS X 10.8","Chrome 0.0",http://plus.url.google.com/url?sa=z&n=1359398434067&url=http%3A%2F%2Ft.co%2FKhWP9dDb&usg=NPipOnm_rYNopnpnv-AwedawEIM.
39606383,"2013-01-28 13:56:24","2013-01-28 13:58:09",85.182.74.126,DE,Germany,Somewhat,"Not at all",Extremely,"No opinion","XSLT v2.0, XSLT v1.0 + exslt, XSLT v1.0, XSLT v3.0","a long time",Saxon,Java,,"together with FO for generating PDF","Browser, Direct","Mac OS X 10.8","Safari 6.0",http://t.co/KhWP9dDb
39608359,"2013-01-28 14:18:17","2013-01-28 14:19:36",75.94.132.156,US,"United States",Somewhat,"Not at all",Extremely,"No opinion","XSLT v2.0, XSLT v3.0, XSLT v1.0, XSLT v1.0 + exslt","a long time",Saxon,"Linux, OSX, Java",,"XSLT rocks.  --Alex ;)","Browser, Direct","Mac OS X 10.8","Chrome 24.0",http://t.co/KhWP9dDb
